ID,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,DAY_7,DAY_8,DAY_9,DAY_10,DAY_11,DAY_12,DAY_13,DAY_14,DAY_15,DAY_16,DAY_17,DAY_18,DAY_19,DAY_20,DAY_21,DAY_22,DAY_23,DAY_24,DAY_25,DAY_26,DAY_27,DAY_28,DAY_29,DAY_30,DAY_31
DS_35,A,P,P,P,P,P,P,A,A,A,P,P,P,P,P,P,A,P,P,P,P,A,P,A,P,P,A,P,A,A,P
DS_36,P,A,P,P,P,P,P,A,A,P,P,P,P,A,P,P,A,P,A,P,P,P,A,P,P,P,P,P,A,P,A
DS_37,P,A,P,P,A,P,A,P,P,A,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P
DS_38,P,P,P,P,P,P,A,P,A,P,P,A,P,A,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,A,P
DS_39,P,P,A,P,A,P,A,A,A,P,P,A,P,A,P,A,P,P,P,A,A,P,P,A,A,A,P,P,A,P,P
DS_40,A,P,P,P,A,A,P,P,P,P,P,A,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P
DS_41,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,A,A,P,P,P,P,A,P,A,P,A,P,P
DS_42,P,P,P,P,P,A,P,A,P,A,P,A,P,A,P,P,P,P,P,A,A,P,P,A,A,A,P,A,P,A,P
DS_43,P,P,A,P,P,P,P,A,P,P,A,P,P,P,A,P,A,P,P,P,P,P,A,A,P,P,P,A,P,P,P
DS_44,P,P,A,A,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,A,P,P,P,P,A,A,A,A,P,A,P
DS_45,P,A,A,A,A,P,P,P,A,P,P,A,P,P,A,P,P,A,A,P,P,P,P,A,P,P,A,P,A,P,P
DS_46,P,A,A,P,A,P,P,P,A,P,P,A,P,P,A,P,A,P,A,A,P,A,A,P,P,A,P,P,P,P,P
DS_47,P,A,P,A,A,A,P,P,A,P,A,P,P,P,P,A,P,P,P,P,P,P,A,P,A,P,P,P,A,P,P
DS_48,P,A,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P
DS_49,P,P,P,P,P,A,P,A,A,A,P,P,A,P,A,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P
DS_50,A,A,P,A,A,P,P,P,P,A,P,P,A,A,P,A,A,P,P,P,P,A,P,A,P,P,P,P,A,P,P
DS_51,P,P,P,A,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,A,P,A,A,P,P,A,P,P,A
DS_52,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,A,P,A,A,A,P,P,P,P,A
DS_53,P,A,P,A,A,P,P,P,P,P,A,A,P,A,P,P,P,P,P,A,P,P,A,P,P,A,P,P,P,P,P
DS_54,A,P,P,P,A,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,P,A,P,P,A,A,A,A
DS_55,P,P,P,P,P,P,P,P,P,A,P,A,P,A,P,A,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A
DS_56,A,A,P,P,A,P,P,P,A,P,P,P,P,A,P,P,A,A,P,A,P,P,A,P,P,A,P,A,A,P,P
DS_57,P,A,P,P,P,P,A,P,P,P,P,P,A,A,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P
DS_58,A,P,A,P,P,P,A,P,P,P,A,P,A,A,P,P,P,A,A,A,A,P,P,P,P,A,P,P,A,P,P
DS_59,P,A,A,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,A,A,A,P,P,P,P,P,P,P,P,P
DS_60,P,P,P,P,P,P,A,P,P,P,A,A,P,P,P,A,A,P,P,A,P,A,P,P,A,P,P,P,A,A,A
AI_1,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,A,P,P,P,A,P,P,P,P,P,A,P,P,P,P
AI_2,P,P,P,P,P,P,P,P,P,A,P,A,A,P,P,P,A,P,A,P,P,A,P,P,P,A,A,A,A,P,A
AI_3,P,P,P,A,A,P,P,P,A,P,P,A,A,P,P,A,P,P,P,P,A,A,P,P,P,P,P,P,P,A,P
AI_4,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,A,A,A,P,P,P,P,A,P,A
AI_5,P,P,A,P,A,P,A,P,A,P,P,P,A,A,P,P,P,P,P,P,P,A,P,P,P,P,A,A,P,P,P
AI_6,A,P,P,P,P,A,A,A,P,A,A,P,P,P,P,P,A,P,P,P,P,P,A,P,A,P,P,A,A,P,A
AI_7,P,P,A,P,A,P,P,A,P,P,A,P,P,P,A,A,A,P,P,P,P,P,A,A,P,A,P,P,P,A,P
AI_8,P,A,P,P,P,P,P,P,A,P,P,A,P,A,P,P,P,A,P,A,P,A,A,P,A,P,P,P,P,P,A
AI_9,A,P,P,P,P,A,P,P,P,A,A,A,P,P,A,P,P,P,P,P,A,P,P,A,P,P,P,A,P,P,P
AI_10,P,P,P,P,A,P,A,A,P,A,P,P,P,P,P,A,P,P,A,P,P,P,P,P,A,P,P,A,P,A,P
AI_11,A,P,A,P,P,P,A,A,P,P,P,P,P,A,P,P,A,A,P,P,A,P,P,P,P,P,P,A,P,A,A
AI_12,P,P,A,P,A,P,P,P,A,P,P,A,P,A,P,A,P,A,P,P,P,P,P,P,A,A,A,A,P,P,P
AI_13,A,P,P,A,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P,A,P,P,P,P,P,A,P
AI_14,P,P,P,P,P,P,P,P,A,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P
AI_15,P,P,P,P,P,P,A,P,A,P,P,A,P,A,P,P,A,P,P,P,A,P,P,A,P,A,P,A,A,P,P
AI_16,P,P,P,A,P,P,P,P,P,A,P,A,P,P,A,P,P,A,P,P,P,P,P,P,P,A,A,P,A,P,P
AI_17,A,P,P,A,A,P,P,P,P,A,P,P,P,P,A,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P
AI_18,P,P,A,P,P,P,A,A,P,P,A,A,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P
AI_19,P,P,P,P,A,A,A,A,A,P,P,A,P,P,P,P,P,P,P,A,P,A,P,A,P,A,P,A,P,A,P
AI_20,P,A,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P
AI_21,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,A,P,A,P,P,P,P,P,P,P,P,P,A
AI_22,P,P,P,P,P,P,A,P,P,P,P,P,P,A,A,P,A,A,P,P,A,P,P,A,A,P,P,P,A,A,P
AI_23,P,P,P,P,P,P,A,A,P,P,A,A,P,A,P,P,P,A,P,P,A,A,A,P,P,P,P,P,P,A,A
AI_24,P,P,P,A,P,A,P,P,P,P,P,A,A,P,A,P,A,P,P,P,P,P,A,A,P,P,A,A,P,P,A
AI_25,P,P,P,P,P,A,A,P,A,P,A,P,P,P,P,A,P,P,P,A,P,P,P,A,P,A,A,P,A,P,P
AI_26,P,A,P,P,P,P,P,A,P,P,P,A,P,A,P,P,P,P,P,A,P,A,A,P,P,P,P,P,A,A,P
AI_27,A,P,P,A,A,P,P,A,P,P,A,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,A,P,P,A
AI_28,A,P,P,P,A,A,P,P,P,P,P,A,A,P,A,A,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P
AI_29,P,P,P,A,P,P,P,A,P,P,A,P,P,A,P,P,P,P,A,A,P,A,P,P,A,A,P,P,P,P,P
AI_30,P,P,P,P,A,A,A,A,P,P,P,P,P,A,P,A,A,P,P,P,P,P,A,P,P,P,P,A,A,P,A
AI_31,P,A,P,P,A,P,A,A,P,P,A,P,P,P,P,A,A,P,P,P,P,P,P,P,P,A,P,A,P,A,P
AI_32,P,A,P,P,P,P,A,P,P,P,P,A,P,P,P,A,P,P,A,A,A,P,P,P,P,P,P,A,A,P,P
AI_33,P,A,P,P,P,P,P,P,A,P,P,A,P,P,A,P,A,P,P,P,A,A,A,P,A,A,A,A,P,P,P
AI_34,P,P,A,P,A,A,P,A,A,P,A,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,A
AI_35,A,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,A,P,P,P,A,A,P,P,P
AI_36,P,A,P,P,P,P,P,P,P,A,A,A,A,P,A,P,A,A,A,P,A,P,P,P,A,P,P,P,P,P,P
AI_37,P,A,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,A,P,P,P,P,P,P,A,A,P,A,P,P
AI_38,A,P,P,A,P,A,P,P,P,P,P,P,A,P,P,A,P,A,P,P,P,A,A,P,P,P,P,P,A,A,P
AI_39,P,P,P,A,A,A,P,A,P,A,P,P,P,P,A,P,P,P,P,A,A,A,P,P,A,P,P,A,P,P,A
AI_40,P,P,P,P,P,P,A,P,P,A,A,P,A,P,A,P,A,P,P,P,A,P,P,A,P,A,P,P,A,P,P
AI_41,P,P,A,P,A,P,P,A,P,A,P,P,P,P,P,A,P,A,P,A,A,P,P,P,P,A,A,P,P,P,P
AI_42,P,A,P,P,P,A,P,P,P,A,P,A,P,P,P,A,P,A,P,A,P,A,P,P,A,A,P,P,P,P,P
AI_43,P,A,A,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P
AI_44,A,P,P,A,P,P,A,A,A,A,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,A,A
AI_45,P,P,A,A,P,A,A,A,P,A,P,P,A,A,P,P,P,P,A,P,P,P,A,P,P,P,P,A,P,A,P
AI_46,A,P,P,A,A,P,A,P,P,A,P,A,P,P,P,P,A,P,P,A,P,A,A,P,P,A,P,P,P,P,P
AI_47,A,A,A,A,A,P,P,P,P,P,A,P,P,P,A,A,P,P,P,P,P,P,P,P,A,P,P,P,A,P,A
AI_48,A,P,P,A,A,A,P,P,P,A,A,P,P,P,P,A,A,A,P,A,P,A,P,P,A,P,P,P,P,P,P
AI_49,P,P,P,A,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,A,P,A
AI_50,P,A,P,P,P,P,A,P,A,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,A,A,P,P
AI_51,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P
AI_52,P,P,A,P,P,P,P,A,A,A,A,P,A,P,P,A,P,A,P,A,P,A,A,A,P,P,P,A,A,P,A
AI_53,P,P,P,A,P,P,A,A,P,P,P,P,A,P,P,P,P,P,A,P,P,A,P,A,P,P,P,A,P,P,P
AI_54,A,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P,A,A,P,P,A,A,P,P,P,P,P,P,P,P
AI_55,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P
AI_56,P,A,P,A,A,P,A,P,P,A,A,P,A,P,P,A,A,P,P,P,P,A,P,P,P,P,A,P,P,A,P
AI_57,P,P,A,A,P,A,P,P,A,P,P,P,A,A,P,A,P,A,P,P,A,P,P,P,P,P,P,A,P,P,P
AI_58,P,P,A,P,P,P,P,P,A,P,A,A,A,P,P,A,P,P,P,P,P,P,A,A,P,A,A,P,P,P,A
AI_59,P,P,P,P,A,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A
AI_60,A,P,P,A,P,P,P,P,P,P,A,P,P,P,A,A,A,P,P,P,A,A,A,P,P,P,P,P,A,P,A
Mech_1,P,P,P,A,A,P,P,A,P,P,A,A,A,P,P,P,P,P,A,A,P,P,A,P,P,P,P,A,P,P,P
Mech_2,P,A,P,P,A,A,A,A,A,P,A,P,A,P,P,A,A,P,A,P,A,P,P,A,P,P,P,P,P,P,P
Mech_3,P,P,A,A,P,P,P,A,P,P,P,P,A,P,P,P,A,P,A,A,P,P,A,P,A,P,P,P,P,P,A
Mech_4,P,P,P,P,A,P,P,A,P,P,A,A,P,A,P,P,A,P,P,P,P,A,P,A,P,P,P,A,P,P,P
Mech_5,P,P,P,A,A,P,P,P,A,P,P,A,P,P,P,P,A,P,P,A,P,A,P,P,A,P,P,P,P,P,P
Mech_6,P,P,P,A,A,P,P,P,P,A,A,A,P,P,P,P,P,A,P,P,P,A,P,A,P,P,P,A,A,A,A
Mech_7,P,A,P,A,P,P,P,A,A,A,P,A,P,A,P,P,P,P,A,A,P,P,P,A,P,A,A,A,P,P,P
Mech_8,A,P,A,P,P,P,A,A,P,P,P,P,P,A,P,A,P,P,P,P,P,A,P,P,P,P,P,A,P,A,P
Mech_9,A,P,P,P,A,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,A,P,P,A,P,P,P,P,A,A,A
Mech_10,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A
Mech_11,P,A,A,P,P,A,P,A,P,P,P,P,A,P,P,A,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P
Mech_12,P,P,A,A,A,P,P,A,A,P,P,A,A,P,P,A,P,P,P,P,P,A,A,A,A,A,P,P,P,P,P
Mech_13,A,P,P,P,A,P,P,P,A,P,A,P,P,P,A,P,P,A,A,P,P,P,P,P,P,P,P,P,P,A,P
Mech_14,A,A,P,P,P,P,P,A,P,A,A,P,P,P,P,A,A,P,A,P,P,P,P,A,P,P,A,P,P,P,A
Mech_15,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,A,P,A,P,P,A,A,P
Mech_16,P,P,P,P,P,P,A,P,P,A,P,P,P,A,A,P,P,P,P,A,P,P,P,P,A,A,P,P,P,P,P
Mech_17,P,P,A,P,P,A,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P
Mech_18,P,P,P,A,P,P,P,P,A,P,A,P,P,A,A,A,A,A,P,P,A,A,A,A,P,P,P,P,A,P,P
Mech_19,P,P,P,P,A,P,P,P,P,A,A,A,A,P,A,A,P,P,P,P,A,P,P,P,P,P,A,A,P,P,A
Mech_20,P,P,A,P,A,P,A,A,P,P,P,A,A,A,P,A,A,A,A,A,P,A,P,P,P,A,P,A,P,P,P
Mech_21,P,P,P,P,A,P,A,A,P,P,P,P,P,A,A,A,P,P,A,P,P,A,P,P,P,A,P,P,A,P,A
Mech_22,P,A,P,P,A,A,A,P,P,P,A,A,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P
Mech_23,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,A,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P
Mech_24,P,P,P,P,P,P,P,A,A,P,P,P,P,A,P,A,P,A,P,P,A,P,P,P,A,A,A,A,P,A,P
Mech_25,A,P,P,P,P,A,A,A,P,P,A,P,P,A,P,P,P,P,A,P,P,P,P,P,A,A,P,A,A,P,P
Mech_26,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,A,A,A,P,P,P,P,P,A,P,P,P
Mech_27,A,P,A,P,P,A,P,P,P,P,P,A,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P
Mech_28,P,A,P,P,P,P,A,P,P,P,P,A,P,A,P,P,A,P,P,P,P,A,P,P,P,A,A,A,P,P,P
Mech_29,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,A,P,P,P,A,A,P,A,P,P,A,P,P,P
Mech_30,A,P,A,P,A,A,P,P,P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,P,A,P,P,A,P,P,P
Mech_31,P,A,P,P,A,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P
Mech_32,A,P,P,A,A,P,P,A,A,A,P,P,P,P,P,A,A,P,A,P,A,A,A,A,A,P,P,P,P,P,A
Mech_33,P,P,A,P,P,P,P,A,A,P,P,P,P,A,P,P,P,A,A,P,A,P,P,P,P,P,A,P,A,P,P
Mech_34,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,A,A,A,A,P,P
Mech_35,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P
Mech_36,P,A,A,P,P,A,P,P,P,P,A,P,P,P,A,P,P,P,A,A,P,P,P,A,P,P,P,A,P,P,P
Mech_37,P,P,P,P,P,A,P,P,A,P,A,A,P,P,A,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P,P
Mech_38,P,P,P,P,P,A,A,A,P,P,P,P,A,P,P,A,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P
Mech_39,P,P,P,P,P,P,P,P,P,A,A,A,P,A,A,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,A
Mech_40,P,P,P,P,A,P,P,P,P,P,A,P,A,P,P,A,P,P,A,P,P,P,A,A,P,P,A,A,P,A,P
Mech_41,A,P,P,A,A,A,A,A,P,P,P,A,A,P,P,P,P,P,P,A,P,P,P,P,A,P,A,P,P,A,P
Mech_42,P,P,P,P,P,A,A,P,P,A,A,A,P,P,A,A,P,P,P,P,P,A,P,P,P,P,A,P,P,P,A
Mech_43,P,P,P,P,P,P,A,P,P,P,P,P,A,A,A,P,P,A,P,A,P,P,P,P,P,A,P,P,P,P,P
Mech_44,P,A,P,P,P,P,A,P,A,A,A,A,P,A,P,A,P,P,P,P,A,A,P,P,A,P,P,P,P,A,A
Mech_45,P,P,P,P,A,P,A,P,P,A,P,A,P,A,A,A,A,P,A,P,A,P,P,P,P,P,P,P,A,P,P
Mech_46,P,P,P,A,P,P,A,A,P,A,P,P,P,A,A,P,A,P,P,P,P,P,P,P,A,P,P,A,P,P,A
Mech_47,P,A,P,P,P,A,P,P,A,P,P,A,P,P,P,P,P,P,A,P,A,A,A,P,A,A,A,A,P,P,A
Mech_48,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,A,P,P,A,A,A,P,P
Mech_49,P,P,A,P,P,P,P,P,P,P,A,A,A,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P
Mech_50,P,P,P,P,P,P,A,P,A,P,A,P,P,A,P,P,P,A,P,P,P,P,A,P,P,P,A,A,A,P,P
Mech_51,A,P,A,A,P,P,P,P,P,A,P,P,P,A,P,P,A,P,P,A,P,P,P,A,A,A,P,P,P,P,A
Mech_52,P,A,P,A,P,P,A,P,P,P,P,P,P,P,P,P,A,A,P,P,P,A,A,P,A,A,P,P,A,P,A
Mech_53,P,P,P,P,A,P,P,A,A,A,P,A,P,P,P,A,A,P,A,P,A,P,A,P,P,A,A,A,A,A,P
Mech_54,P,P,P,P,P,A,P,P,P,P,A,P,A,P,A,P,P,A,P,P,P,P,P,A,P,A,P,P,A,P,P
Mech_55,A,P,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,P,P,P,P,A,P,P,P,P,A,P,P,A,P
Mech_56,P,P,A,A,A,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,A,P,P
Mech_57,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,A,P,A,P,A,A,P,P,P,P,P,P,P,P,P
Mech_58,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,A,P,P,A,P,A,P,A,P
Mech_59,A,P,P,A,A,P,A,A,P,P,A,A,P,P,P,A,P,P,P,A,P,A,P,A,A,A,P,P,P,P,P
Mech_60,P,A,P,P,P,P,P,A,P,P,A,A,P,P,P,A,A,P,P,A,P,P,A,P,P,P,P,A,A,A,P
Mech_61,P,A,A,P,P,P,P,P,P,P,A,P,A,A,A,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,A
Mech_62,P,A,A,P,P,P,A,P,A,P,P,A,P,A,P,P,P,A,A,P,A,P,P,A,A,P,A,A,A,P,A
Mech_63,P,P,P,A,A,A,A,A,P,A,P,A,A,P,P,P,A,P,A,A,A,A,P,P,P,P,A,P,P,P,P
Mech_64,P,P,A,A,A,A,P,P,P,A,P,P,P,P,A,P,A,A,A,P,P,P,P,P,A,P,A,P,P,P,P
Mech_65,P,A,A,P,P,A,P,P,P,P,P,P,P,P,P,A,A,P,P,A,P,P,A,P,P,P,A,P,P,P,A
Mech_66,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,P,A,A,A,P,P,A,P,P,P,A,A,A,P
Mech_67,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P,A,P,P,P,P,P,P,A,P,A,P,P,P,A,P
Mech_68,P,P,P,P,P,P,A,A,P,P,P,A,A,A,A,P,P,A,P,P,A,P,P,A,A,P,P,P,A,A,P
Mech_69,P,P,A,P,P,P,A,P,A,P,P,A,P,A,P,P,A,A,P,P,A,A,P,P,P,A,A,P,P,P,P
Mech_70,P,P,P,A,P,A,P,A,P,P,A,P,P,P,P,A,A,P,A,A,P,P,P,A,P,P,P,P,P,P,P
Mech_71,P,P,A,P,A,A,P,P,A,P,P,P,P,P,P,A,P,P,P,A,A,P,P,P,A,A,A,A,P,P,P
Mech_72,P,A,P,P,P,P,P,A,A,A,A,A,P,P,A,P,P,P,A,A,P,P,P,P,A,P,P,P,P,P,P
Mech_73,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,A,P,A,P,P,A,A,P,P,P,A,P
Mech_74,P,P,P,A,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P
Mech_75,A,P,P,A,P,P,A,P,P,P,A,P,A,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,A,A
Mech_76,P,A,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,A,P,A,A,P,P,A,P,P,P,P,P,P
Mech_77,P,P,A,P,A,P,A,P,P,A,A,P,A,P,P,A,P,P,P,A,P,A,P,P,P,P,P,A,A,P,A
Mech_78,P,P,A,A,P,P,P,P,P,A,P,A,P,P,P,P,P,A,P,A,P,P,P,A,P,A,P,A,A,A,A
Mech_79,A,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,A,P,P,P,P,P,A,A,P,P,P,P,A
Mech_80,P,P,P,A,P,P,P,P,P,P,P,A,P,P,A,P,P,A,P,P,P,A,A,A,P,P,P,P,P,P,A
Mech_81,A,P,P,A,A,A,P,P,P,A,A,A,A,A,P,A,P,P,P,A,P,P,A,P,P,A,A,P,P,P,P
Mech_82,P,A,P,A,P,A,A,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,A,P,A,A,A,A,A,A
Mech_83,A,P,P,P,P,P,P,P,P,P,A,A,P,A,P,P,P,A,P,P,P,P,P,P,P,A,A,P,P,P,P
Mech_84,P,P,P,P,P,P,P,A,P,P,A,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,A,P
Mech_85,A,P,P,P,P,P,P,P,A,P,P,P,P,A,A,A,A,A,A,P,A,P,P,P,P,P,A,A,P,A,A
Mech_86,A,P,A,P,A,P,P,P,P,P,P,A,A,A,P,P,P,A,P,A,P,P,P,P,P,A,A,A,P,P,A
Mech_87,P,P,P,A,P,P,P,P,A,P,P,A,P,P,P,P,A,P,P,P,P,P,A,P,A,A,A,P,P,P,P
Mech_88,P,A,A,P,P,A,P,A,A,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,A,P,P,P,A,A
Mech_89,P,P,P,A,P,A,P,A,P,P,P,P,P,P,P,P,P,A,P,A,A,P,A,P,A,P,P,P,P,P,P
Mech_90,P,P,P,P,P,P,P,P,A,P,A,P,A,P,P,P,P,A,A,P,P,P,P,A,A,P,P,P,A,A,A
Mech_91,A,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,A,P,P,P,P,P,P,P
Mech_92,A,A,P,P,P,P,P,A,A,P,A,A,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,P,A,A,P
Mech_93,A,P,A,P,A,A,A,A,A,A,A,P,P,P,P,P,P,P,P,P,P,A,P,P,A,A,A,A,A,P,A
Mech_94,P,A,A,P,P,A,P,A,A,A,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,P,A,P,P,P,P
Mech_95,A,P,P,P,P,A,P,A,A,A,P,P,A,P,P,P,P,P,A,P,A,A,A,P,P,A,A,A,P,A,P
Mech_96,P,A,P,P,A,A,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P
Mech_97,P,P,P,P,A,P,P,P,A,P,A,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P,P
Mech_98,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,A,P,A,P,P,P,P,A,P,A
Mech_99,P,A,A,A,P,A,P,P,P,A,P,A,P,P,A,P,P,P,P,A,A,P,P,A,P,P,A,P,A,P,A
Mech_100,A,A,A,P,P,P,A,A,P,A,A,P,P,P,P,P,P,P,P,P,P,A,P,A,P,A,P,P,P,A,P
Mech_101,A,P,A,P,A,A,P,A,P,P,P,P,P,P,A,P,P,P,A,P,A,P,A,P,P,A,P,A,A,A,P
Mech_102,P,P,P,P,P,P,P,A,P,P,P,A,A,A,P,P,P,P,P,P,P,P,A,P,A,P,A,A,P,A,P
Mech_103,P,P,A,P,P,A,P,A,A,P,P,A,P,A,P,P,A,P,P,P,A,P,P,P,A,P,P,P,A,P,P
Mech_104,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,A,P,P,A,P,P,P,P,A,A,A,P
Mech_105,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,P,P,A,A,P,A,P,P,P,A,P
Mech_106,P,P,P,P,P,P,A,P,P,A,A,P,A,P,P,P,P,P,A,P,P,P,P,A,P,A,P,P,A,P,P
Mech_107,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,A
Mech_108,P,P,P,P,P,P,P,P,P,P,A,P,A,P,A,P,P,A,P,P,P,P,A,P,A,P,A,P,P,P,A
Mech_109,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,A,P,A,P,P,P,A
Mech_110,P,P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,A,A,P
Mech_111,A,A,P,P,P,P,P,P,P,P,P,P,P,P,A,A,A,A,P,A,P,P,P,P,P,P,P,A,A,A,P
Mech_112,P,P,A,P,P,P,P,A,P,P,A,P,A,P,P,P,P,P,P,P,A,A,A,P,P,A,P,P,P,P,P
Mech_113,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,A,A,A,P,A,P,P,P,P,P,A,P,P,P,P,P
Mech_114,A,A,P,A,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,P
Mech_115,P,P,A,A,A,A,A,P,A,A,P,P,P,P,P,P,A,A,P,A,P,P,A,P,P,A,P,P,A,P,P
Mech_116,P,P,P,A,P,A,A,A,A,P,P,P,P,A,P,P,P,P,A,A,P,A,P,P,P,P,P,P,A,P,P
Mech_117,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A
Mech_118,P,P,P,P,P,P,P,A,A,A,A,A,P,A,P,P,A,P,P,A,P,A,P,P,P,P,P,P,P,A,A
